name	human	chimpanzee	bonobo	description
NOTCH2NLA	1	0	0	notch 2 N-terminal like A
NUDT4B	4	0	0	nudix hydrolase 4B
PDE4DIP	4	0	0	phosphodiesterase 4D interacting protein
NBPF9	1	0	0	NBPF member 9
NOTCH2NLB	1	0	0	notch 2 N-terminal like B
NBPF14	4	0	0	NBPF member 14
NBPF11	1	0	0	NBPF member 11
GPR89B	1	0	0	G protein-coupled receptor 89B
ACP6	1	0	0	acid phosphatase 6%2C lysophosphatidic
CHD1L	1	1	0	chromodomain helicase DNA binding protein 1 like
FMO5	1	0	0	flavin containing dimethylaniline monoxygenase 5
NBPF12	4	0	0	NBPF member 12
NOTCH2NLC	3	0	0	notch 2 N-terminal like C
NBPF19	1	0	0	NBPF member 19
FCGR1A	1	0	0	Fc gamma receptor Ia
H2BC18	1	0	0	H2B clustered histone 18
H2AC18	1	0	0	H2A clustered histone 18
H4C14	1	1	0	H4 clustered histone 14
H3C14	1	0	0	H3 clustered histone 14
H3C15	1	0	0	H3 clustered histone 15
H2AC19	1	0	0	H2A clustered histone 19
H4C15	1	1	0	H4 clustered histone 15
SV2A	1	0	0	synaptic vesicle glycoprotein 2A
SF3B4	1	0	0	splicing factor 3b subunit 4
OTUD7B	1	0	0	OTU deubiquitinase 7B
VPS45	1	0	0	vacuolar protein sorting 45 homolog
ANP32E	1	0	0	acidic nuclear phosphoprotein 32 family member E
PRPF3	1	0	0	pre-mRNA processing factor 3
RPRD2	1	1	0	regulation of nuclear pre-mRNA domain containing 2
