genes,genes_renamed,descriptions,num_populations,is_shared,Eastern,Western,Central,Candidate TSP literature
XKR6,XKR6,XK related 6,2,Yes,7.892207715,6.993336426,NA,
BACH1,BACH1,BTB domain and CNC homolog 1,2,Yes,7.887797634,NA,10.30536083,
SLC19A3,SLC19A3,solute carrier family 19 member 3,2,Yes,7.874015481,NA,10.45302233,
LOC129144293,GVQW1,protein GVQW1-like,2,Yes,7.871606301,NA,9.587190369,
LOC462525,OR2H1,olfactory receptor 2H1-like,2,Yes,7.853910066,NA,10.16540166,
TAFA5,TAFA5,TAFA chemokine like family member 5,2,Yes,7.83958729,7.196444191,NA,
PRR5L,PRR5L,proline rich 5 like,2,Yes,7.834515519,NA,9.860562149,
LHPP,LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,2,Yes,7.817974515,6.24212267,NA,
ACSM5,ACSM5,acyl-CoA synthetase medium chain family member 5,2,Yes,7.801986295,6.294550232,NA,
CTNNA2,CTNNA2,catenin alpha 2,2,Yes,7.793050421,NA,9.083705563,
LOC101058482,IGHV5-51,immunoglobulin heavy variable 5-51-like,2,Yes,7.791578644,6.796445398,NA,
SYNE1,SYNE1,spectrin repeat containing nuclear envelope protein 1,2,Yes,7.791082896,NA,10.41882038,
CERS3,CERS3,ceramide synthase 3,2,Yes,7.770405813,6.380175368,NA,
ADAM18,ADAM18,ADAM metallopeptidase domain 18,2,Yes,7.733685811,NA,9.719067637,
EBF4,EBF4,EBF family member 4,2,Yes,7.72693701,6.462795971,NA,
SGCD,SGCD,sarcoglycan delta,2,Yes,7.722444319,6.422644891,NA,
PALM,PALM,paralemmin,2,Yes,7.711709946,6.547248389,NA,
PDYN,PDYN,prodynorphin,2,Yes,7.698701308,NA,10.95859873,
LOC134808242,TBX1,T-box transcription factor TBX1-like,2,Yes,7.693290564,6.256463608,NA,
GADL1,GADL1,glutamate decarboxylase like 1,2,Yes,7.68477482,6.894255133,NA,
OR4K17,OR4K17,olfactory receptor family 4 subfamily K member 17,2,Yes,7.675899164,6.409819053,NA,
SVOPL,SVOPL,SVOP like,2,Yes,7.670439568,NA,10.58926609,
SORBS2,SORBS2,sorbin and SH3 domain containing 2,2,Yes,7.670418397,NA,9.245821123,
GMDS,GMDS,GDP-mannose 4%2C6-dehydratase,2,Yes,7.662370547,NA,9.090021586,
FGF14,FGF14,fibroblast growth factor 14,2,Yes,7.653312055,6.321708377,NA,
LOC129137268,HBA3-like,hemoglobin subunit alpha-3-like,1,No,NA,9.002494182,NA,
ZNF766,ZNF766,zinc finger protein 766,1,No,NA,8.2156403,NA,
FAM53A,FAM53A,family with sequence similarity 53 member A,1,No,NA,8.136562906,NA,
MIR373,MIR373,microRNA mir-373,1,No,NA,7.903876304,NA,
DDI2,DDI2,DNA damage inducible 1 homolog 2,1,No,NA,7.863139738,NA,
LOC112208690,MYLK2,myosin light chain kinase 2%2C skeletal/cardiac muscle-like,1,No,NA,7.860533796,NA,
KLHDC4,KLHDC4,kelch domain containing 4,1,No,NA,7.774363474,NA,
LOC134808389,IGHG1,immunoglobulin gamma-1 heavy chain-like,1,No,NA,7.760657233,NA,
LOC129136397,SSU72L2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 2-like,1,No,NA,7.753790918,NA,
MTA1,MTA1,metastasis associated 1,1,No,NA,7.71934698,NA,
LOC107970891,SDHC,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial,1,No,NA,7.621584691,NA,
CSNK1G2,CSNK1G2,casein kinase 1 gamma 2,1,No,NA,7.600619038,NA,
ZNF761,ZNF761,zinc finger protein 761,1,No,NA,7.45718267,NA,
LOC107971361,RH-like IC,RH-like protein IC,1,No,NA,7.349037094,NA,
PCBP3,PCBP3,poly(rC) binding protein 3,1,No,NA,7.339448752,NA,
LILRB4,LILRB4,leukocyte immunoglobulin like receptor B4,1,No,NA,7.296309415,NA,
PRDM16,PRDM16,PR/SET domain 16,1,No,NA,7.284956344,NA,
SPIRE2,SPIRE2,spire type actin nucleation factor 2,1,No,NA,7.267092135,NA,
MAPK8IP3,MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3,1,No,NA,7.179732161,NA,
CENPQ,CENPQ,centromere protein Q,1,No,NA,7.179342061,NA,
ZBTB46,ZBTB46,zinc finger and BTB domain containing 46,1,No,NA,7.108724967,NA,
NBAS,NBAS,NBAS subunit of NRZ tethering complex,1,No,NA,7.057686169,NA,
C3H4orf50,C3H4orf50,chromosome 3 C4orf50 homolog,1,No,NA,7.049992493,NA,
LOC100612450,IGSF1,immunoglobulin superfamily member 1,1,No,NA,6.998482545,NA,
ZNF26,ZNF26,zinc finger protein 26,1,No,NA,6.988201455,NA,
LOC736102,RANBP2,E3 SUMO-protein ligase RanBP2-like,1,No,NA,6.940542329,NA,
LOC107969555,PSG11,pregnancy-specific beta-1-glycoprotein 11,1,No,NA,6.909463369,NA,
RIC1,RIC1,RIC1 homolog%2C RAB6A GEF complex partner 1,1,No,NA,6.901431744,NA,
LOC104001091,ZNF321,putative protein ZNF321,1,No,NA,6.885328679,NA,
TUBGCP2,TUBGCP2,tubulin gamma complex component 2,1,No,NA,6.807810912,NA,
ZBTB45,ZBTB45,zinc finger and BTB domain containing 45,1,No,NA,6.782809084,NA,
ZNF16,ZNF16,zinc finger protein 16,1,No,NA,6.780114691,NA,
MYO10,MYO10,myosin X,1,No,NA,6.76323286,NA,
COL5A1,COL5A1,collagen type V alpha 1 chain,1,No,NA,6.762227313,NA,
COL18A1,COL18A1,collagen type XVIII alpha 1 chain,1,No,NA,6.760078046,NA,
PTPRH,PTPRH,protein tyrosine phosphatase receptor type H,1,No,NA,6.740722619,NA,
DPRX,DPRX,divergent-paired related homeobox,1,No,NA,6.739963745,NA,
ROS1,ROS1,ROS proto-oncogene 1%2C receptor tyrosine kinase,1,No,NA,6.739818658,NA,
LOC112209536,IFITM3,interferon-induced transmembrane protein 3-like,1,No,NA,6.724328934,NA,
DSC3,DSC3,desmocollin 3,1,No,NA,6.721772651,NA,
XIRP2,XIRP2,xin actin binding repeat containing 2,1,No,NA,6.720650235,NA,
COL6A2,COL6A2,collagen type VI alpha 2 chain,1,No,NA,6.686592008,NA,
CEP104,CEP104,centrosomal protein 104,1,No,NA,6.680162197,NA,
LOC743528,CDC14C,dual specificity protein phosphatase CDC14C-like,1,No,NA,6.672609693,NA,
PAOX,PAOX,polyamine oxidase,1,No,NA,6.63347993,NA,
