genes_renamed,descriptions,gene_biotypes,n_species,species_sharing,Bonobo_Ppa,Chimp_Pt,AFR_hsa
C6H7orf78,chromosome 6 C7orf78 homolog,protein_coding,1,bonobo_only,6.54,NA,NA
C6orf15,NA,protein_coding,1,human_only,NA,NA,6.625324666
CACNA1A,calcium voltage-gated channel subunit alpha1 A,NA,1,chimp_only,NA,6.09,NA
CACNA1B,calcium voltage-gated channel subunit alpha1 B,protein_coding,1,bonobo_only,6.02,NA,NA
CACNA1C,calcium voltage-gated channel subunit alpha1 C,NA,1,chimp_only,NA,7.51,NA
CAMK1D,calcium/calmodulin dependent protein kinase ID,NA,1,chimp_only,NA,6.1,NA
CCDC187,coiled-coil domain containing 187,NA,1,chimp_only,NA,6.64,NA
CCDC77,coiled-coil domain containing 77,protein_coding,1,bonobo_only,10.97,NA,NA
CCHCR1,NA,protein_coding,1,human_only,NA,NA,8.082864621
CDH12,cadherin 12,NA,1,chimp_only,NA,6.02,NA
CDH13,cadherin 13,NA,1,chimp_only,NA,6.72,NA
CDIN1,CDAN1 interacting nuclease 1,protein_coding,1,bonobo_only,6.4,NA,NA
CDRT15,CMT1A duplicated region transcript 15 protein-like protein,protein_coding,1,bonobo_only,6.6,NA,NA
CDSN,NA,protein_coding,1,human_only,NA,NA,9.381894869
CELA3B,chymotrypsin-like elastase family member 3B,protein_coding,1,bonobo_only,6.93,NA,NA
CENPQ,centromere protein Q,NA,1,chimp_only,NA,6.52,NA
CEP104,centrosomal protein 104,NA,1,chimp_only,NA,6.5,NA
CFAP54,cilia and flagella associated protein 54,protein_coding,1,bonobo_only,6.82,NA,NA
CHL1,cell adhesion molecule L1 like,NA,1,chimp_only,NA,6.9,NA
CIMAP1D,CIMAP1 family member D,protein_coding,1,bonobo_only,6.44,NA,NA
CLASRP,CLK4-associating serine/arginine rich protein-like,protein_coding,1,bonobo_only,7.59,NA,NA
CNTN4,contactin-4,protein_coding,1,bonobo_only,7.16,NA,NA
CNTN5,NA,protein_coding,1,human_only,NA,NA,6.790940711
