name,variant_type,Bonobo,Chimpanzee,Human,description,post_mean,selection_regime
ADAMTS16,SVs,1,1,1,ADAM metallopeptidase with thrombospondin type 1 motif 16,0.0223232,Extreme selection
ADAMTS17,SVs,1,1,1,ADAM metallopeptidase with thrombospondin type 1 motif 17,0.0129309,Extreme selection
ADAMTS18,SVs,1,1,1,ADAM metallopeptidase with thrombospondin type 1 motif 18,0.0107739,Extreme selection
ADAMTS19,SVs,1,1,1,ADAM metallopeptidase with thrombospondin type 1 motif 19,0.0337452,Extreme selection
ADAMTS2,SVs,4,1,1,ADAM metallopeptidase with thrombospondin type 1 motif 2,0.0790386,Extreme selection
ADAMTS20,SVs,0,1,1,ADAM metallopeptidase with thrombospondin type 1 motif 20,0.00112011,Strong selection
ADAMTS3,SVs,1,1,1,ADAM metallopeptidase with thrombospondin type 1 motif 3,0.0201052,Extreme selection
ADAMTS6,SVs,1,1,1,ADAM metallopeptidase with thrombospondin type 1 motif 6,0.106746,Extreme selection
ADAMTS7,SVs,0,0,1,ADAM metallopeptidase with thrombospondin type 1 motif 7,0.00600684,Strong selection
ADAMTS8,SVs,0,0,1,ADAM metallopeptidase with thrombospondin type 1 motif 8,0.00327292,Strong selection
ADAMTS9,SVs,0,1,4,ADAM metallopeptidase with thrombospondin type 1 motif 9,0.0393138,Extreme selection
ADAMTSL1,SVs,1,1,1,ADAMTS like 1,0.0229674,Extreme selection
ADAMTSL2,SVs,0,1,1,ADAMTS like 2,0.044474,Extreme selection
ADAMTSL3,SVs,0,1,1,ADAMTS like 3,0.0185331,Extreme selection
ADAMTSL4,SVs,0,1,0,ADAMTS like 4,0.00176843,Strong selection
ADAMTSL5,SVs,0,1,4,ADAMTS like 5,6.0251e-4,Weak selection
ADAP1,SVs,1,1,1,ArfGAP with dual PH domains 1,0.0378651,Extreme selection
ADAP2,SVs,0,1,0,ArfGAP with dual PH domains 2,0.00254133,Strong selection
ADAR,SVs,1,0,0,adenosine deaminase RNA specific,0.0663931,Extreme selection
ADARB1,SVs,0,1,1,adenosine deaminase RNA specific B1,0.127969,Extreme selection
ADARB2,SVs,1,1,1,adenosine deaminase RNA specific B2 (inactive),0.049299,Extreme selection
ADAT1,SVs,0,4,1,adenosine deaminase tRNA specific 1,0.00131685,Strong selection
ADAT2,SVs,0,1,1,adenosine deaminase tRNA specific 2,0.00347443,Strong selection
ADAT3,SVs,1,1,0,adenosine deaminase tRNA specific 3,0.00197876,Strong selection
ADCK1,SVs,1,1,4,aarF domain containing kinase 1,8.5931e-4,Weak selection
ADCK2,SVs,0,1,0,aarF domain containing kinase 2,0.00137793,Strong selection
ADCK5,SVs,1,1,0,aarF domain containing kinase 5,0.0195678,Extreme selection
ADCY1,SVs,0,1,1,adenylate cyclase 1,0.101954,Extreme selection
ADCY10,SVs,1,1,1,adenylate cyclase 10,0.00237719,Strong selection
ADCY2,SVs,0,1,1,adenylate cyclase 2,0.0934847,Extreme selection
ADCY3,SVs,1,0,1,adenylate cyclase 3,0.0308862,Extreme selection
ADCY4,SVs,0,0,1,adenylate cyclase 4,0.00365855,Strong selection
ADCY5,SVs,0,0,1,adenylate cyclase 5,0.0930181,Extreme selection
ADCY7,SVs,0,1,0,adenylate cyclase 7,0.0125535,Extreme selection
ADCY8,SVs,0,1,1,adenylate cyclase 8,0.0279121,Extreme selection
ADCY9,SVs,1,1,1,adenylate cyclase 9,0.0708806,Extreme selection
ADD1,SVs,0,1,1,adducin 1,0.0757958,Extreme selection
ADD2,SVs,1,1,1,adducin 2,0.0952646,Extreme selection
ADD3,SVs,0,3,1,adducin 3,0.268129,Extreme selection
ADGB,SVs,1,1,1,androglobin,0.0026811,Strong selection
ADGRA1,SVs,0,1,1,adhesion G protein-coupled receptor A1,0.0326555,Extreme selection
ADGRA2,SVs,0,1,0,adhesion G protein-coupled receptor A2,0.0153656,Extreme selection
ADGRA3,SVs,0,1,1,adhesion G protein-coupled receptor A3,0.0515505,Extreme selection
ADGRB1,SVs,0,1,0,adhesion G protein-coupled receptor B1,0.448751,Extreme selection
ADGRB2,SVs,0,1,0,adhesion G protein-coupled receptor B2,0.107158,Extreme selection
ADGRB3,SVs,1,1,4,adhesion G protein-coupled receptor B3,0.123476,Extreme selection
ADGRD1,SVs,0,1,1,adhesion G protein-coupled receptor D1,0.00294661,Strong selection
ADGRE1,SVs,4,1,1,adhesion G protein-coupled receptor E1,0.00157295,Strong selection
ADGRE2,SVs,0,4,3,adhesion G protein-coupled receptor E2,0.00154558,Strong selection
ADGRE3,SVs,1,1,1,adhesion G protein-coupled receptor E3,7.8003e-4,Weak selection
ADGRE5,SVs,0,1,0,adhesion G protein-coupled receptor E5,0.00394062,Strong selection
ADGRF1,SVs,0,1,1,adhesion G protein-coupled receptor F1,9.93e-4,Weak selection
ADGRF3,SVs,0,1,0,adhesion G protein-coupled receptor F3,5.8841e-4,Weak selection
ADGRF4,SVs,0,1,1,adhesion G protein-coupled receptor F4,0.00137882,Strong selection
ADGRF5,SVs,0,1,0,adhesion G protein-coupled receptor F5,0.0288931,Extreme selection
ADGRG2,SVs,1,1,1,adhesion G protein-coupled receptor G2,0.0633,Extreme selection
ADGRG3,SVs,0,1,1,adhesion G protein-coupled receptor G3,0.00123905,Strong selection
ADGRG4,SVs,1,1,0,adhesion G protein-coupled receptor G4,0.00195549,Strong selection
ADGRG6,SVs,0,1,0,adhesion G protein-coupled receptor G6,0.0177225,Extreme selection
ADGRG7,SVs,0,1,1,adhesion G protein-coupled receptor G7,7.4332e-4,Weak selection
ADGRL1,SVs,1,0,1,adhesion G protein-coupled receptor L1,0.133287,Extreme selection
ADGRL2,SVs,1,1,1,adhesion G protein-coupled receptor L2,0.113699,Extreme selection
ADGRL3,SVs,1,1,1,adhesion G protein-coupled receptor L3,0.114058,Extreme selection
ADGRL4,SVs,0,0,1,adhesion G protein-coupled receptor L4,0.00303421,Strong selection
ADGRV1,SVs,1,1,2,adhesion G protein-coupled receptor V1,0.0138201,Extreme selection
ADH4,SVs,0,0,1,alcohol dehydrogenase 4 (class II)%2C pi polypeptide,7.4749e-4,Weak selection
ADH6,SVs,1,1,1,alcohol dehydrogenase 6 (class V),0.00118332,Strong selection
ADH7,SVs,0,1,0,alcohol dehydrogenase 7 (class IV)%2C mu or sigma polypeptide,7.2849e-4,Weak selection
ADHFE1,SVs,0,0,1,alcohol dehydrogenase iron containing 1,6.9042e-4,Weak selection
ADI1,SVs,4,1,0,acireductone dioxygenase 1,0.00122192,Strong selection
ADIPOQ,SVs,0,0,1,adiponectin%2C C1Q and collagen domain containing,0.00262198,Strong selection
ADIPOR1,SVs,1,0,0,adiponectin receptor 1,0.0926306,Extreme selection
ADIPOR2,SVs,1,1,1,adiponectin receptor 2,0.103333,Extreme selection
ADIRF,SVs,0,1,0,adipogenesis regulatory factor,0.00340016,Strong selection
ADISSP,SVs,0,1,0,adipose secreted signaling protein,0.00454649,Strong selection
ADK,SVs,1,1,4,adenosine kinase,0.0227384,Extreme selection
ADM2,SVs,0,0,1,adrenomedullin 2,0.00209046,Strong selection
ADNP,SVs,0,0,1,activity dependent neuroprotector homeobox,0.333098,Extreme selection
ADORA1,SVs,0,1,0,adenosine A1 receptor,0.032118,Extreme selection
ADORA2B,SVs,0,0,1,adenosine A2b receptor,8.9967e-4,Weak selection
ADPRHL1,SVs,1,2,1,ADP-ribosylhydrolase like 1,0.00127973,Strong selection
ADPRM,SVs,0,1,0,ADP-ribose/CDP-alcohol diphosphatase%2C manganese dependent,0.00649215,Strong selection
ADRA1A,SVs,0,1,1,adrenoceptor alpha 1A,0.00312435,Strong selection
ADRA1B,SVs,0,1,1,adrenoceptor alpha 1B,0.022179,Extreme selection
ADRA2C,SVs,0,1,0,adrenoceptor alpha 2C,0.018649,Extreme selection
ADRB2,SVs,1,1,0,adrenoceptor beta 2,0.0391394,Extreme selection
ADRM1,SVs,0,1,4,ADRM1 26S proteasome ubiquitin receptor,0.252072,Extreme selection
ADSL,SVs,1,1,0,adenylosuccinate lyase,0.0153362,Extreme selection
ADSS1,SVs,0,1,0,adenylosuccinate synthase 1,7.8047e-4,Weak selection
ADSS2,SVs,0,1,0,adenylosuccinate synthase 2,0.0602756,Extreme selection
ADTRP,SVs,0,1,0,androgen dependent TFPI regulating protein,8.5949e-4,Weak selection
AEBP2,SVs,1,1,1,AE binding protein 2,0.452139,Extreme selection
AEN,SVs,0,0,1,apoptosis enhancing nuclease,0.00181388,Strong selection
AFAP1,SVs,1,1,1,actin filament associated protein 1,0.0232751,Extreme selection
AFAP1L1,SVs,0,1,1,actin filament associated protein 1 like 1,0.00297683,Strong selection
AFAP1L2,SVs,1,1,1,actin filament associated protein 1 like 2,0.0210853,Extreme selection
AFDN,SVs,1,1,1,afadin%2C adherens junction formation factor,0.103937,Extreme selection
AFF1,SVs,1,1,1,ALF transcription elongation factor 1,0.0407742,Extreme selection
AFF3,SVs,0,1,1,ALF transcription elongation factor 3,0.160223,Extreme selection
AFF4,SVs,0,0,4,ALF transcription elongation factor 4,0.284396,Extreme selection
