loc_name	new_symbol	description
LOC124907524	NA	golgin subfamily A member 6B
LOC102724117	NA	golgin subfamily A member 6-like protein 4
LOC100652777	NA	group 10 secretory phospholipase A2
LOC124900576	OTOA	otoancorin-like
LOC128966632	NA	serine/threonine-protein kinase SMG1-like
LOC128966680	NA	serine/threonine-protein kinase SMG1-like
LOC128966681	NA	putative L-type amino acid transporter 1-like protein IMAA
LOC124907841	NA	bolA-like protein 2
LOC124903680	NA	zinc finger protein ENSP00000375192-like
LOC124907789	NA	translation initiation factor IF-2-like
LOC124907791	NA	serine/threonine-protein kinase Chk2-like
LOC124907782	NA	dual specificity protein phosphatase 22
LOC124907780	NA	leucine-rich repeat extensin-like protein 3
LOC124903713	PTMS	parathymosin-like
LOC124907806	CLEC18C	C-type lectin domain family 18 member C-like
LOC124903757	NA	keratin-associated protein 5-2-like
LOC101928044	NA	zinc finger CCHC domain-containing protein 9-like
LOC101060212	NA	puromycin-sensitive aminopeptidase-like protein
LOC124904077	NA	translation initiation factor IF-2-like
LOC128966610	NA	UDP-GlcNAc:betaGal beta-1%2C3-N-acetylglucosaminyltransferase-like protein 1
LOC107985149	NA	histidine-rich protein PFHRP-II-like
LOC124904333	NA	octapeptide-repeat protein T2
LOC124908081	NA	glycine cleavage system H protein%2C mitochondrial-like
LOC122539214	NA	Zinc finger protein LOC122539214
LOC124904792	ZNF480	zinc finger protein 480-like
LOC124908094	NA	WAS protein family homolog 2-like
LOC124908119	NA	cyclin-dependent kinase 2-associated protein 2-like
LOC124908102	NA	WAS protein family homolog 2-like
LOC124908103	NA	putative ATP-dependent RNA helicase DDX12
LOC124908168	NA	DNA-directed RNA polymerase II subunit RPB1-like
LOC124908169	NA	ankyrin repeat domain-containing protein 20B-like
LOC124908139	NA	B melanoma antigen 3-like
LOC124908231	NA	protein FRG1-like
LOC124908143	NA	protein FRG1B-like
LOC128966688	NA	translation initiation factor IF-2-like
LOC128966689	NA	PE-PGRS family protein PE_PGRS30-like
LOC124908428	NA	extensin-like
LOC124908437	NA	putative double homeobox protein 3
LOC124908456	NA	protein FRG1B-like
LOC124908433	NA	translation initiation factor IF-2-like
LOC124908434	NA	ankyrin repeat domain-containing protein 36B-like
LOC124908444	NA	histone-lysine N-methyltransferase 2C-like
LOC124908445	NA	histone-lysine N-methyltransferase 2C-like
LOC124908467	NA	B melanoma antigen 3-like
LOC128966641	NA	putative POM121-like protein 1
LOC124908409	NA	putative POM121-like protein 1
LOC124900476	NA	endogenous retrovirus group K member 5 Gag polyprotein-like
LOC124905135	NA	collagen alpha-1(III) chain-like
LOC124900597	NA	serine/arginine repetitive matrix protein 1-like
LOC124908553	GAGE7	G antigen 7-like
LOC124908554	GAGE7	G antigen 7-like
LOC124908555	GAGE5	G antigen 5
LOC124908556	GAGE7	G antigen 7-like
LOC124908557	GAGE2D	G antigen 2D-like
LOC124908558	NA	X antigen family member 1-like
LOC124908533	NA	collagen alpha-4(IV) chain-like
LOC124908535	NA	collagen alpha-4(IV) chain-like
LOC124908534	NA	collagen alpha-4(IV) chain-like
LOC124908536	NA	collagen alpha-4(IV) chain-like
LOC128966702	NA	paraneoplastic antigen-like protein 6A
LOC124908988	NA	testis-specific Y-encoded protein 8
LOC128966595	NA	testis-specific Y-encoded protein 3
LOC124905625	NA	testis-specific Y-encoded protein 3
