Sample	id	type	dataset	p1	p2	HPRC_meta.Population	HPRC_PANPAN.color	hgdp_tgp_meta.Genetic.region	hgdp_tgp_meta.Study.region	SpeciesCode	Cell	Birth	hgdp_tgp_meta.Latitude	hgdp_tgp_meta.Longitude	hgdp_tgp_meta.Continent.colors	hgdp_tgp_meta.Pop.colors	project_meta.sex	observations
HG03516	HG03516.2	hap2	HPRC	ESN	AFR	ESN	#FFCC33	AFR	AFR	Hsa 			9.066667	7.483333	#984EA3	#AC71B5	female	
HG03516	HG03516.1	hap1	HPRC	ESN	AFR	ESN	#FFCC33	AFR	AFR	Hsa 			9.066667	7.483333	#984EA3	#AC71B5	female	
HG03540	HG03540.1	hap1	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	female	
HG03540	HG03540.2	hap2	HPRC	GWD	AFR	GWD	#FF6600	AFR	AFR	Hsa 			13.466667	-16.6	#984EA3	#9E59A9	female	
HG03579	HG03579.1	hap1	HPRC	MSL	AFR	MSL	#FF9900	AFR	AFR	Hsa 			8.48445	-13.23445	#984EA3	#512956	male	
HG03579	HG03579.2	hap2	HPRC	MSL	AFR	MSL	#FF9900	AFR	AFR	Hsa 			8.48445	-13.23445	#984EA3	#512956	male	
NA18906	NA18906.1	hap1	HPRC	YRI	AFR	YRI	#FF9900	AFR	AFR	Hsa 			7.396667	3.916667	#984EA3	#140A15	female	
NA18906	NA18906.2	hap2	HPRC	YRI	AFR	YRI	#FF9900	AFR	AFR	Hsa 			7.396667	3.916667	#984EA3	#140A15	female	
NA19240	NA19240.1	hap1	HPRC	YRI	AFR	YRI	#FF9900	AFR	AFR	Hsa 			7.396667	3.916667	#984EA3	#140A15	female	
NA19240	NA19240.2	hap2	HPRC	YRI	AFR	YRI	#FF9900	AFR	AFR	Hsa 			7.396667	3.916667	#984EA3	#140A15	female	
NA20129	NA20129.1	hap1	HPRC	ASW	AMR	ASW	#FFCC00	AFR	AFR	Hsa 			35.48167	-97.53333	#984EA3	#E3CFE6	female	
NA20129	NA20129.2	hap2	HPRC	ASW	AMR	ASW	#FFCC00	AFR	AFR	Hsa 			35.48167	-97.53333	#984EA3	#E3CFE6	female	
NA21309	NA21309.1	hap1	HPRC	"HAPMAP - MAASAI IN KINYAWA, KENYA"	AFR	MKK-HapMap	#FFCC33	AFR	AFR	Hsa 			-3	37	#984EA3	NA	female	
NA21309	NA21309.2	hap2	HPRC	"HAPMAP - MAASAI IN KINYAWA, KENYA"	AFR	MKK-HapMap	#FFCC33	AFR	AFR	Hsa 			-3	37	#984EA3	NA	female	
PR00249	PR00249.hap1	hap1	PANPAN	Bonobo	AFR	Bonobo	#e9d7cb	AFR	Pan paniscus	Ppan	LCL	captive	-2.36	21.55	#e9d7cb	#e9d7cb	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00249	PR00249.hap2	hap2	PANPAN	Bonobo	AFR	Bonobo	#e9d7cb	AFR	Pan paniscus	Ppan	LCL	captive	-2.36	21.55	#e9d7cb	#e9d7cb	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00366	PR00366.hap1	hap1	PANPAN	Bonobo	AFR	Bonobo	#e9d7cb	AFR	Pan paniscus	Ppan	LCL	captive	-2.36	21.55	#e9d7cb	#e9d7cb	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00366	PR00366.hap2	hap2	PANPAN	Bonobo	AFR	Bonobo	#e9d7cb	AFR	Pan paniscus	Ppan	LCL	captive	-2.36	21.55	#e9d7cb	#e9d7cb	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00445	PR00445.hap1	hap1	PANPAN	Bonobo	AFR	Bonobo	#e9d7cb	AFR	Pan paniscus	Ppan	LCL	captive	-2.36	21.55	#e9d7cb	#e9d7cb	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00445	PR00445.hap2	hap2	PANPAN	Bonobo	AFR	Bonobo	#e9d7cb	AFR	Pan paniscus	Ppan	LCL	captive	-2.36	21.55	#e9d7cb	#e9d7cb	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00251	PR00251.hap1	hap1	PANPAN	Bonobo	AFR	Bonobo	#e9d7cb	AFR	Pan paniscus	Ppan	LCL	captive	-2.36	21.55	#e9d7cb	#e9d7cb	male	this is mPanPan1
PR00251	PR00251.hap2	hap2	PANPAN	Bonobo	AFR	Bonobo	#e9d7cb	AFR	Pan paniscus	Ppan	LCL	captive	-2.36	21.55	#e9d7cb	#e9d7cb	male	this is mPanPan1
mPanPan1	mPanPan1.hap1	hap1	PANPAN	Bonobo	AFR	Bonobo	#e9d7cb	AFR	Pan paniscus	Ppan	LCL	captive	2.23	18.15	#e9d7cb	#e9d7cb	male	this is PR00251
