genomeName	Species_mtDNA	SpeciesCode	CommonName	Assembly	Assembly2	NewName	Birth	cell	type	type2	type3	Latitude_approx	Longitude_approx	id	colors	sex
AG18360_11	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG18360_11(Western chimpanzee)	unknown	LCL	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	AG18360_11.hap2	#9dced9	female
AG16618_12	Pan troglodytes verus	Ptv x Ptt	Western x Central hybrid	hifiasm_hic	hifiasm_hic	AG16618_12(Western chimpanzee)	unknown	LCL	hap1	hap1 (PacBio HiFi)	long-read 	-0.232861	12.888962	AG16618_12.hap1	#4c5d4c	male
AG16618_12	Pan troglodytes verus	Ptv x Ptt	Western x Central hybrid	hifiasm_hic	hifiasm_hic	AG16618_12(Western chimpanzee)	unknown	LCL	hap2	hap2 (PacBio HiFi)	long-read 	-0.232861	12.888962	AG16618_12.hap2	#4c5d4c	male
AG06939_13	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG06939_13(Western chimpanzee)	unknown	Fibroblast	hap1	hap1 (PacBio HiFi)	long-read 	6	-9	AG06939_13.hap1	#9dced9	male
AG06939_13	Pan troglodytes verus	Ptv	Western	hifiasm_hic	hifiasm_hic	AG06939_13(Western chimpanzee)	unknown	Fibroblast	hap2	hap2 (PacBio HiFi)	long-read 	6	-9	AG06939_13.hap2	#9dced9	male
SAMN01920517_elliotiAkwaya-Jean_Cameroon	Pan troglodytes ellioti	Pte	Nigeria-Camerron	illumina short-read	illumina short-read		Akwaya_Jean		diploid	diploid (Illumina short-read)	short-read	4.79855	9.2901	SAMN01920517_elliotiAkwaya-Jean_Cameroon	#fe604c	
SAMN01920518_ellioti_Banyo_Cameroon	Pan troglodytes ellioti	Pte	Nigeria-Camerron	illumina short-read	illumina short-read		Banyo		diploid	diploid (Illumina short-read)	short-read	6.4109	10.4424	SAMN01920518_ellioti_Banyo_Cameroon	#fe604c	
SAMN01920519_ellioti_Basho_Cameroon	Pan troglodytes ellioti	Pte	Nigeria-Camerron	illumina short-read	illumina short-read		Basho		diploid	diploid (Illumina short-read)	short-read	5.508405	10.144	SAMN01920519_ellioti_Basho_Cameroon	#fe604c	
SAMN01920520_ellioti_Damian_Cameroon	Pan troglodytes ellioti	Pte	Nigeria-Camerron	illumina short-read	illumina short-read		Damian		diploid	diploid (Illumina short-read)	short-read	6.387525	10.6643	SAMN01920520_ellioti_Damian_Cameroon	#fe604c	
SAMN01920521_ellioti_JulieLWC21_Cameroon	Pan troglodytes ellioti	Pte	Nigeria-Camerron	illumina short-read	illumina short-read		Julie		diploid	diploid (Illumina short-read)	short-read	6.78872	11.53365	SAMN01920521_ellioti_JulieLWC21_Cameroon	#fe604c	
SAMN01920522_ellioti_Kopongo_Cameroon	Pan troglodytes ellioti	Pte	Nigeria-Camerron	illumina short-read	illumina short-read		Kopongo		diploid	diploid (Illumina short-read)	short-read	5.784825	10.3854	SAMN01920522_ellioti_Kopongo_Cameroon	#fe604c	
SAMN01920523_ellioti_Koto_Cameroon	Pan troglodytes ellioti	Pte	Nigeria-Camerron	illumina short-read	illumina short-read		Koto		diploid	diploid (Illumina short-read)	short-read	4.15989	9.14837	SAMN01920523_ellioti_Koto_Cameroon	#fe604c	
SAMN01920524_ellioti_Paquita_Cameroon	Pan troglodytes ellioti	Pte	Nigeria-Camerron	illumina short-read	illumina short-read		Paquita		diploid	diploid (Illumina short-read)	short-read	5.240895	10.1503	SAMN01920524_ellioti_Paquita_Cameroon	#fe604c	
SAMN01920525_ellioti_Taweh_Cameroon	Pan troglodytes ellioti	Pte	Nigeria-Camerron	illumina short-read	illumina short-read		Taweh		diploid	diploid (Illumina short-read)	short-read	6.637165	10.9659	SAMN01920525_ellioti_Taweh_Cameroon	#fe604c	
SAMN01920526_ellioti_Tobi_Cameroon	Pan troglodytes ellioti	Pte	Nigeria-Camerron	illumina short-read	illumina short-read		Tobi		diploid	diploid (Illumina short-read)	short-read	5.767895	10.37835	SAMN01920526_ellioti_Tobi_Cameroon	#fe604c	
SAMN01920527_schweinfurthii_Vincent_Tanzania	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		100037_Vincent		diploid	diploid (Illumina short-read)	short-read	-5	30	SAMN01920527_schweinfurthii_Vincent_Tanzania	#ffb35a	
