name,human,chimpanzee,bonobo,description
MYO15B,4,4,3,myosin XVB
NAAA,4,4,3,N-acylethanolamine acid amidase
NAXD,4,4,3,NAD(P)HX dehydratase
NBEAL1,4,4,3,neurobeachin like 1
NDE1,4,4,3,nudE neurodevelopment protein 1
NEIL2,4,4,3,nei like DNA glycosylase 2
NEK10,4,4,3,NIMA related kinase 10
NEK11,4,4,3,NIMA related kinase 11
NLRP12,4,4,3,NLR family pyrin domain containing 12
NMRK2,4,4,3,nicotinamide riboside kinase 2
NPPA,4,4,3,natriuretic peptide A
NPSR1,4,4,3,neuropeptide S receptor 1
NQO1,4,4,3,NAD(P)H quinone dehydrogenase 1
NSMAF,4,4,3,neutral sphingomyelinase activation associated factor
NT5DC4,4,4,3,5'-nucleotidase domain containing 4
NTMT2,4,4,3,N-terminal Xaa-Pro-Lys N-methyltransferase 2
NUDT7,4,4,3,nudix hydrolase 7
NXPE4,4,4,3,neurexophilin and PC-esterase domain family member 4
OAS1,4,4,3,2'-5'-oligoadenylate synthetase 1
OBP2B,4,4,3,odorant binding protein 2B
OBSCN,4,4,3,obscurin%2C cytoskeletal calmodulin and titin-interacting RhoGEF
OGFOD3,4,4,3,2-oxoglutarate and iron dependent oxygenase domain containing 3
OMA1,4,4,3,OMA1 zinc metallopeptidase
OXER1,4,4,3,oxoeicosanoid receptor 1
PACRG,4,4,3,parkin coregulated
PECR,4,4,3,peroxisomal trans-2-enoyl-CoA reductase
PIDD1,4,4,3,p53-induced death domain protein 1
PIK3R6,4,4,3,phosphoinositide-3-kinase regulatory subunit 6
PIWIL3,4,4,3,piwi like RNA-mediated gene silencing 3
PKHD1L1,4,4,3,PKHD1 like 1
PLA2G4C,4,4,3,phospholipase A2 group IVC
PLCH1,4,4,3,phospholipase C eta 1
PLCL2,4,4,3,phospholipase C like 2
PLEKHA1,4,4,3,pleckstrin homology domain containing A1
PLK5,4,4,3,polo like kinase 5 (inactive)
PNPLA7,4,4,3,patatin like phospholipase domain containing 7
POLK,4,4,3,DNA polymerase kappa
POLQ,4,4,3,DNA polymerase theta
POMZP3,4,4,3,POM121 and ZP3 fusion
PPIL2,4,4,3,peptidylprolyl isomerase like 2
PRR23C,4,4,3,proline rich 23C
PSG4,4,4,3,pregnancy specific beta-1-glycoprotein 4
PTCRA,4,4,3,pre T cell antigen receptor alpha
PTPDC1,4,4,3,protein tyrosine phosphatase domain containing 1
PTRH1,4,4,3,peptidyl-tRNA hydrolase 1 homolog
PVRIG,4,4,3,PVR related immunoglobulin domain containing
PXDNL,4,4,3,peroxidasin like
RAD52,4,4,3,RAD52 homolog%2C DNA repair protein
RARS2,4,4,3,arginyl-tRNA synthetase 2%2C mitochondrial
RCAN1,4,4,3,regulator of calcineurin 1
RFX8,4,4,3,regulatory factor X8
RGS11,4,4,3,regulator of G protein signaling 11
RGS6,4,4,3,regulator of G protein signaling 6
RGS7,4,4,3,regulator of G protein signaling 7
RHBDF2,4,4,3,rhomboid 5 homolog 2
RNF212B,4,4,3,ring finger protein 212B
RNF32,4,4,3,ring finger protein 32
RUFY2,4,4,3,RUN and FYVE domain containing 2
SAMD9L,4,4,3,sterile alpha motif domain containing 9 like
SAMSN1,4,4,3,SAM domain%2C SH3 domain and nuclear localization signals 1
SCGB2B2,4,4,3,secretoglobin family 2B member 2
SEC16A,4,4,3,SEC16 homolog A%2C endoplasmic reticulum export factor
SEMG2,4,4,3,semenogelin 2
SERPINB10,4,4,3,serpin family B member 10
SERPINB4,4,4,3,serpin family B member 4
SERPINB6,4,4,3,serpin family B member 6
SFMBT2,4,4,3,Scm like with four mbt domains 2
SH3BP2,4,4,3,SH3 domain binding protein 2
SHPRH,4,4,3,SNF2 histone linker PHD RING helicase
SKAP1,4,4,3,src kinase associated phosphoprotein 1
SLAMF8,4,4,3,SLAM family member 8
SLAMF9,4,4,3,SLAM family member 9
SLC15A5,4,4,3,solute carrier family 15 member 5
SLC22A24,4,4,3,solute carrier family 22 member 24
SLC22A25,4,4,3,solute carrier family 22 member 25
SLC2A7,4,4,3,solute carrier family 2 member 7
SLC5A11,4,4,3,solute carrier family 5 member 11
SLC7A13,4,4,3,solute carrier family 7 member 13
SLCO4A1,4,4,3,solute carrier organic anion transporter family member 4A1
SMPDL3A,4,4,3,sphingomyelin phosphodiesterase acid like 3A
SMUG1,4,4,3,single-strand-selective monofunctional uracil-DNA glycosylase 1
SNTG2,4,4,3,syntrophin gamma 2
SNX8,4,4,3,sorting nexin 8
SP140L,4,4,3,SP140 nuclear body protein like
SPHK1,4,4,3,sphingosine kinase 1
SPSB2,4,4,3,splA/ryanodine receptor domain and SOCS box containing 2
SSUH2,4,4,3,ssu-2 homolog
STIL,4,4,3,STIL centriolar assembly protein
STXBP4,4,4,3,syntaxin binding protein 4
STYXL1,4,4,3,serine/threonine/tyrosine interacting like 1
SUN1,4,4,3,Sad1 and UNC84 domain containing 1
SVEP1,4,4,3,sushi%2C von Willebrand factor type A%2C EGF and pentraxin domain containing 1
SYNE2,4,4,3,spectrin repeat containing nuclear envelope protein 2
TAS2R40,4,4,3,taste 2 receptor member 40
TCAF2,4,4,3,TRPM8 channel associated factor 2
TEKT3,4,4,3,tektin 3
TENM4,4,4,3,teneurin transmembrane protein 4
TEX51,4,4,3,testis expressed 51
THAP8,4,4,3,THAP domain containing 8
TM6SF1,4,4,3,transmembrane 6 superfamily member 1
TMCO3,4,4,3,transmembrane and coiled-coil domains 3
TMEM131L,4,4,3,transmembrane 131 like
TMEM232,4,4,3,transmembrane protein 232
TMEM247,4,4,3,transmembrane protein 247
TMEM254,4,4,3,transmembrane protein 254
TMEM44,4,4,3,transmembrane protein 44
TMEM74B,4,4,3,transmembrane protein 74B
TMEM8B,4,4,3,transmembrane protein 8B
TNK1,4,4,3,tyrosine kinase non receptor 1
