gene	description	Western	Western x Central	Central	Eastern
CIT	citron rho-interacting serine/threonine kinase	3	3	3	2
MIR1178	microRNA mir-1178	1	1	1	1
NTF3	neurotrophin 3	2	2	2	2
LOC112205048	uncharacterized LOC112205048	1	1	1	1
BICDL1	BICD family like cargo adaptor 1	3	3	3	1
LOC112205174	small nucleolar RNA U13	1	1	1	1
LOC129135349	uncharacterized LOC129135349	3	3	3	2
RAB35	RAB35, member RAS oncogene family	2	2	2	2
LOC134807411	uncharacterized LOC134807411	3	3	3	3
GCN1	GCN1 activator of EIF2AK4	3	3	3	3
LOC104001712	uncharacterized LOC104001712	1	1	1	1
RPLP0	ribosomal protein lateral stalk subunit P0	2	2	2	2
PXN	paxillin	3	3	3	3
LOC101059613	nucleoside diphosphate kinase, mitochondrial	3	4	3	3
LOC112205196	U4 spliceosomal RNA	1	1	1	1
SIRT4	sirtuin 4	1	2	4	1
LOC112205197	U4 spliceosomal RNA	1	1	1	1
LOC112205085	U6 spliceosomal RNA	1	1	1	1
PLA2G1B	phospholipase A2 group IB	2	3	1	1
MSI1	musashi RNA binding protein 1	2	2	2	2
COX6A1	cytochrome c oxidase subunit 6A1	1	3	1	1
TRIAP1	TP53 regulated inhibitor of apoptosis 1	1	1	1	1
GATC	glutamyl-tRNA amidotransferase subunit C	2	3	1	1
SRSF9	serine and arginine rich splicing factor 9	1	2	1	1
LOC107967659	uncharacterized LOC107967659	1	1	1	1
DYNLL1	dynein light chain LC8-type 1	1	1	1	1
COQ5	coenzyme Q5, methyltransferase	3	1	3	1
RNF10	ring finger protein 10	3	3	3	3
POP5	POP5 homolog, ribonuclease P/MRP subunit	2	1	3	1
ANO2	anoctamin 2	3	3	3	3
LOC134807412	uncharacterized LOC134807412	3	1	1	3
CABP1	calcium binding protein 1	1	2	1	1
MLEC	malectin	1	1	1	3
LOC134807413	uncharacterized LOC134807413	1	1	2	1
UNC119B	unc-119 lipid binding chaperone B	2	1	1	1
ACADS	acyl-CoA dehydrogenase short chain	2	2	3	3
SPPL3	signal peptide peptidase like 3	3	1	1	1
LOC743003	chloride intracellular channel protein 1-like	1	3	3	3
LOC112205017	uncharacterized LOC112205017	1	2	1	1
LOC107967661	uncharacterized LOC107967661	1	1	1	1
HNF1A	HNF1 homeobox A	3	3	3	2
C12H12orf43	chromosome 12 C12orf43 homolog	3	3	4	3
OASL	2'-5'-oligoadenylate synthetase like	3	3	3	3
LOC112205176	small nucleolar RNA U13	1	1	1	1
LOC112205165	small nucleolar RNA U13	1	1	1	1
LOC112205133	small nucleolar RNA SNORA70	1	1	1	1
P2RX7	purinergic receptor P2X 7	2	3	2	3
P2RX4	purinergic receptor P2X 4	2	2	2	3
CAMKK2	calcium/calmodulin dependent protein kinase kinase 2	3	2	3	2
ANAPC5	anaphase promoting complex subunit 5	2	2	2	1
RNF34	ring finger protein 34	2	3	2	2
KDM2B	lysine demethylase 2B	3	3	3	3
LOC104001719	uncharacterized LOC104001719	1	1	1	1
LOC112205113	U6 spliceosomal RNA	1	1	1	1
ORAI1	ORAI calcium release-activated calcium modulator 1	3	4	2	2
MORN3	MORN repeat containing 3	3	3	3	3
LOC107967664	uncharacterized LOC107967664	1	1	1	1
LOC743637	large ribosomal subunit protein mL53-like	3	2	3	3
TMEM120B	transmembrane protein 120B	2	1	3	3
RHOF	ras homolog family member F, filopodia associated	2	2	3	3
LOC134807414	uncharacterized LOC134807414	1	1	1	1
LOC744627	uncharacterized LOC744627	2	2	3	1
SETD1B	SET domain containing 1B, histone lysine methyltransferase	3	3	3	3
HPD	4-hydroxyphenylpyruvate dioxygenase	1	3	2	3
LOC134807426	uncharacterized LOC134807426	1	1	1	1
LOC134807415	uncharacterized LOC134807415	1	1	1	1
LOC107967665	uncharacterized LOC107967665	1	1	1	1
PSMD9	proteasome 26S subunit, non-ATPase 9	2	2	3	1
LOC112205123	U7 small nuclear RNA	1	1	1	1
CFAP251	cilia and flagella associated protein 251	3	3	3	3
BCL7A	BAF chromatin remodeling complex subunit BCL7A	3	2	2	2
LOC134807518	uncharacterized LOC134807518	1	1	1	1
MLXIP	MLX interacting protein	3	2	2	3
IL31	interleukin 31	3	2	3	1
LRRC43	leucine rich repeat containing 43	3	3	2	2
DIABLO	diablo IAP-binding mitochondrial protein	3	1	3	2
B3GNT4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	3	3	3	3
LOC129136566	uncharacterized LOC129136566	2	1	1	1
VPS33A	VPS33A core subunit of CORVET and HOPS complexes	2	2	3	2
CLIP1	CAP-Gly domain containing linker protein 1	3	3	3	3
LOC107967667	uncharacterized LOC107967667	1	1	1	1
ZCCHC8	zinc finger CCHC-type containing 8	3	2	3	2
RSRC2	arginine and serine rich coiled-coil 2	2	2	1	3
KNTC1	kinetochore associated 1	3	3	3	1
HCAR2	hydroxycarboxylic acid receptor 2	3	3	3	3
LOC101057578	large ribosomal subunit protein uL16-like	3	3	4	1
HCAR3	hydroxycarboxylic acid receptor 3	3	3	3	3
HCAR1	hydroxycarboxylic acid receptor 1	2	2	4	4
DENR	density regulated re-initiation and release factor	1	2	2	1
CCDC62	coiled-coil domain containing 62	3	3	2	2
HIP1R	huntingtin interacting protein 1 related	3	3	3	3
VPS37B	VPS37B subunit of ESCRT-I	3	3	2	2
LOC134807416	uncharacterized LOC134807416	1	1	1	1
ABCB9	ATP binding cassette subfamily B member 9	3	3	3	3
OGFOD2	2-oxoglutarate and iron dependent oxygenase domain containing 2	3	3	2	3
ARL6IP4	ADP ribosylation factor like GTPase 6 interacting protein 4	3	3	2	3
PITPNM2	phosphatidylinositol transfer protein membrane associated 2	3	3	3	3
LOC107967671	uncharacterized LOC107967671	1	2	1	2
MPHOSPH9	M-phase phosphoprotein 9	3	3	3	3
MTRFR	mitochondrial translation release factor in rescue	2	3	3	1
LOC134807417	uncharacterized LOC134807417	1	1	1	1
CDK2AP1	cyclin dependent kinase 2 associated protein 1	2	2	1	1
SBNO1	strawberry notch homolog 1	2	2	2	3
LOC745762	serine/arginine repetitive matrix protein 3	3	3	1	3
KMT5A	lysine methyltransferase 5A	3	2	3	2
LOC134807418	uncharacterized LOC134807418	2	1	1	2
RILPL2	Rab interacting lysosomal protein like 2	4	3	3	3
LOC107967416	uncharacterized LOC107967416	1	1	1	1
SNRNP35	small nuclear ribonucleoprotein U11/U12 subunit 35	1	3	3	3
RILPL1	Rab interacting lysosomal protein like 1	3	3	2	2
TMED2	transmembrane p24 trafficking protein 2	1	2	2	2
DDX55	DEAD-box helicase 55	1	3	3	3
LOC112205145	small nucleolar RNA SNORA9	1	1	1	1
EIF2B1	eukaryotic translation initiation factor 2B subunit alpha	1	1	2	2
GTF2H3	general transcription factor IIH subunit 3	3	2	2	2
TCTN2	tectonic family member 2	3	3	3	3
